First Last,First,Last,Company,Domain
Chris Riccobono,Chris,Riccobono,UNTUCKit LLC,www.untuckit.com
Ronald Rothstein,Ronald,Rothstein,Kleinfeld Bridal Corp.,www.kleinfeldbridal.com
Elizabeth Charles,Elizabeth,Charles,Elizabeth Charles,www.elizabeth-charles.com
Jeroen Overweg,Jeroen,Overweg,Filling Pieces,www.fillingpieces.com
Mark Werts,Mark,Werts,American Rag Cie LLC,www.amrag.com
Billy Hume,Billy,Hume,"VOLCOM, Inc.",www.volcom.com
Barry Cohen,Barry,Cohen,"Lester's of N.Y., Inc.",www.lesters.com
Stacey Goldstein,Stacey,Goldstein,Lola Getts Active,www.lolagetts.com
Mara Urshel,Mara,Urshel,Kleinfeld Bridal Corp.,www.kleinfeldbridal.com
Ron Henderson,Ron,Henderson,Auntie's Beads,www.auntiesbeads.com
Glenn Gaynor,Glenn,Gaynor,DTLR Inc.,www.dtlr.com
Anne Min,Anne,Min,American Threads,www.shopamericanthreads.com
Katy Gross,Katy,Gross,For Love And Lemons,www.forloveandlemons.com
Renato Motoyama,Renato,Motoyama,Dona Bela Shreds,www.donabelashreds.com
Jillian Speck,Jillian,Speck,Vera Bradley Inc,www.verabradley.com
David Heath,David,Heath,Bombas,www.bombas.com
Michael Uttaro,Michael,Uttaro,Toss Designs,www.tossdesigns.com
Jesse Burnett,Jesse,Burnett,Tkees,www.tkees.com
Andrew Vanderlind,Andrew,Vanderlind,Where I’m From Mini Shop,www.whereimfrom.com
Josh Jeide,,,Lucky Scooters,www.luckyscooters.com
