First Last,First,Last,Company,Domain
Gordon Peter Seabury,Gordon,Seabury,Toad&Co,www.toadandco.com
Alexander Graah,Alexander,Graah,"Dr. Denim, Inc.",www.drdenim.com
Maiken Jorgensen,Maiken,Jorgensen,"Sun Bum, Llc",www.trustthebum.com
Lori Bonn Gallagher,Lori,Gallagher,Lori Bonn Design Inc,www.loribonn.com
Eujin Neilan,Eujin,Neilan,Uni-T,www.shopuni-t.com
Kim Baker,Kim,Baker,"Gouda, Inc",www.goudainc.com
John Allen,John,Allen,Ivory Ella,www.ivoryella.com
Christine Dunn,Christine,Dunn,"Mainstream Fashions Franchising, Inc.",www.mainstreamboutique.com
Heather Hasson,Heather,Hasson,Figs,www.wearfigs.com
Neil Boyarsky,Neil,Boyarsky,Bandier Holdings LLC,www.bandier.com
Dyana Cottingham,Dyana,Cottingham,"Mainstream Fashions Franchising, Inc.",www.mainstreamboutique.com
Kelly Whitesell,Kelly,Whitesell,Eskell,www.eskell.com
Jeanmarie Milla,Jeanmarie,Milla,"Mainstream Fashions Franchising, Inc.",www.mainstreamboutique.com
Jue Wong,Jue,Wong,Olaplex Llc,www.olaplex.com
Cynthia Herrera,Cynthia,Herrera,"Sun Bum, Llc",www.trustthebum.com
Rich Fulop,Rich,Fulop,Brooklinen,www.brooklinen.com
Andrea Dick,Andrea,Dick,AMaVo,www.amavoboutique.com
John Hart,John,Hart,"Luminaire (Miami), Inc.",www.luminaire.com
Cena Barhaghi,Cena,Barhaghi,Pink+Dolphin,www.pinkdolphinonline.com
Todd Kirssin,,,DTLR Inc.,www.dtlr.com
