First Last,First,Last,Company,Domain
Michele Kwiat Siegel,Michele,Siegel,"Kwiat Enterprises, LLC",www.kwiat.com
Tyler Haney,Tyler,Haney,"Outdoor Voices, Inc.",www.outdoorvoices.com
Kelly Crisp,Kelly,Crisp,Bailey's Fine Jewelry,www.baileybox.com
Amy Richardson Golia,Amy,Golia,June & January,www.juneandjanuary.com
Brayden Jessen,Brayden,Jessen,Zome Design,www.zomedesign.com
Louis Felix Boulanger,Louis,Boulanger,"Bonlook, Inc.",www.bonlook.com
Richard Smith,Richard,Smith,Panache Lingerie Limited,www.panache-lingerie.com
Davey Hughes,Davey,Hughes,Swazi Apparel,www.swazi.co.nz
Belal Ahmed,Belal,Ahmed,"Avlon Industries, Inc.",www.avlon.com
Siddhartha Sacheti,Siddhartha,Sacheti,Jaipur Gems,www.jaipurgems.com
Laura Mayo,Laura,Mayo,"Karen Kane, Inc.",www.karenkane.com
Mary Rochon,Mary,Rochon,Cellar Prints,www.cellarprints.com
Marina Manca,Marina,Manca,Ports 1961,www.ports1961.com
Bonnie Edgecombe,Bonnie,Edgecombe,AbbyShot,www.abbyshot.com
Gordon Finkelstein,Gordon,Finkelstein,"Tocca, Llc",www.tocca.com
Erin Eischeid,Erin,Eischeid,Blond Genius,www.blondgenius.com
Michelle Berk,Michelle,Berk,"Prive Porter, Llc",www.priveporter.com
Trent Miller,Trent,Miller,Gwynnie Bee,www.gwynniebee.com
Rosaline Sykes,Rosaline,Sykes,Direct Workwear,www.directworkwearonline.com
David Casella,,,Troy Lee Designs,www.troyleedesigns.com
